largest_property_use_type_-_gross_floor_area_(ft),energy_star_score,source_eui_(kbtu/ft),weather_normalized_source_eui_(kbtu/ft),site_eui_(kbtu/ft),weather_normalized_site_eui_(kbtu/ft),weather_normalized_site_electricity_intensity_(kwh/ft),weather_normalized_site_natural_gas_intensity_(therms/ft),natural_gas_use_(kbtu),weather_normalized_site_natural_gas_use_(therms),electricity_use_-_grid_purchase_(kwh),weather_normalized_site_electricity_(kwh),total_ghg_emissions_(metric_tons_co2e),direct_ghg_emissions_(metric_tons_co2e),indirect_ghg_emissions_(metric_tons_co2e),occupancy,number_of_buildings,self-reported_gross_floor_area_(ft),age,primary_property_type_-_self_selected,postal_code,largest_property_use_type,metered_areas_(energy),borough,AddressNumber,StreetName,label_for_target_var
45115.0,45.0,135.9,141.0,105.5,110.0,4.3,1.0,4110208.8,43047.8,189844.4,192671.0,273.2,218.3,54.9,100,1,45115,98,Multifamily Housing,10455,Multifamily Housing,Whole Building,Bronx,643,Southern,1
1577822.4,74.0,212.9,214.7,88.8,90.8,16.0,0.0,223815.1,2238.2,41658794.2,41439465.4,18456.0,11.9,18444.2,90,1,2595037,53,Office,10020,Office,Whole Building,Manhattan,1251,Americas,2
29940.0,12.0,176.6,179.4,80.9,82.8,15.5,0.3,854260.6,8964.5,459618.8,463684.0,178.2,45.4,132.8,90,1,29940,122,Office,10013,Office,NA,Manhattan,230,Grand,0
51276.0,10.0,170.2,172.9,90.3,94.5,10.3,0.6,2780000.1,30355.0,542122.5,530158.3,311.7,147.7,164.0,100,1,51276,11,Multifamily Housing,11201,Multifamily Housing,Whole Building,Brooklyn,101,Clinton,0
36400.0,38.0,121.8,128.6,98.1,104.5,3.2,0.9,3177800.0,34130.5,114930.7,114918.5,202.0,168.8,33.2,100,1,36400,93,Multifamily Housing,11218,Multifamily Housing,Whole Building,Brooklyn,3723,18th,1
121810.0,14.0,156.7,161.4,73.5,77.3,11.3,0.4,4764708.4,52202.3,1497701.2,1511971.2,706.1,253.1,453.1,100,1,134293,120,Multifamily Housing,10011,Multifamily Housing,Whole Building,Manhattan,121West,19th,0
855369.0,70.0,207.0,218.0,95.5,103.2,14.2,0.0,694627.3,6946.3,12399747.9,12638428.1,6564.3,36.9,6527.4,100,1,888431,59,Office,10016,Office,Whole Building,Manhattan,90,Park,2
120624.0,88.0,90.0,90.3,65.5,65.6,3.6,0.5,6429531.4,64295.3,430227.2,433698.1,465.8,341.5,124.3,100,1,120624,69,Multifamily Housing,10463,Multifamily Housing,Whole Building,Bronx,530,236,2
66920.0,41.0,102.4,108.8,79.4,85.4,3.2,0.7,4588599.8,49868.3,213259.4,214126.6,305.3,243.7,61.6,95,1,66920,82,Multifamily Housing,11225,Multifamily Housing,Whole Building,Brooklyn,181,Hawthorne,1
112216.0,1.0,1182.1,1182.2,535.7,532.8,81.9,,,,9129193.0,9188887.8,4685.0,0.0,4685.0,100,1,112216,118,Office,10016,Office,Whole Building,Manhattan,227,30TH,0
